title,company,price,year,km_driven,fuel_type,transmission,city,link
Honda City (2022),Honda,569901,2022,50000,Petrol,Automatic,EM Bypass,https://www.olx.in/item/cars-c84-used-honda-city-in-em-bypass-ruby-kolkata-iid-1845121100
Toyota Innova (2013),Toyota,649999,2013,155000,Diesel,,"Katari Nagar, Rajahmundry",https://www.olx.in/item/cars-c84-used-toyota-innova-in-katari-nagar-rajahmundry-iid-1838652594
Hyundai I10 (2012),Hyundai,181000,2012,34815,Petrol,Automatic,"Amanora, Pune",https://www.olx.in/item/cars-c84-used-hyundai-i10-in-amanora-pune-iid-1846699542
Toyota Urban Cruiser (2022),Toyota,750000,2022,30000,Petrol,Automatic,"Rajouri Garden, Delhi",https://www.olx.in/item/cars-c84-used-toyota-urban-cruiser-in-rajouri-garden-delhi-iid-1843438730
Maruti Suzuki Wagon R 1.0 (2013),Maruti Suzuki,125000,x,90000,CNG,Manual,"Lodhipur, Parikshitgarh",https://www.olx.in/item/cars-c84-used-maruti-suzuki-wagon-r-1-0-in-lodhipur-parikshitgarh-iid-1847379159
Mahindra Xylo (2013),Mahindra,395000,2013,76000,Diesel,Manual,"Civil Lines, Allahabad",https://www.olx.in/item/cars-c84-used-mahindra-xylo-in-civil-lines-allahabad-iid-1845830192
Hyundai Elantra (2013),Hyundai,395000,2013,64000,Petrol,Automatic,"Borivali West, Mumbai",https://www.olx.in/item/cars-c84-used-hyundai-elantra-in-borivali-west-mumbai-iid-1847378900
Hyundai Elite I20 (2013),Hyundai,295000,2013,81500,Petrol,Automatic,Sector,https://www.olx.in/item/cars-c84-used-hyundai-elite-i20-in-sector-61-mohali-iid-1845889604
Mini Cooper S (2024),Audi,4300000,2024,10000,Petrol,Automatic,"Lucknow University, Lucknow",https://www.olx.in/item/cars-c84-used-mini-cooper-s-in-lucknow-university-lucknow-iid-1844536037
Honda City (2016),Honda,550000,2016,100000,Diesel,Manual,"Prempur Losani, Haldwani",https://www.olx.in/item/cars-c84-used-honda-city-in-prempur-losani-haldwani-iid-1845394191
Mercedes-Benz Gls (2021),Mercedes,9100000,2021,34000,Diesel,Automatic,"Navin Sheva, Navi Mumbai",https://www.olx.in/item/cars-c84-used-mercedes-benz-gls-in-navin-sheva-navi-mumbai-iid-1845592001
Renault Lodgy (2015),Renault,495000,2015,100000,Diesel,Automatic,"Karamana, Thiruvananthapuram",https://www.olx.in/item/cars-c84-used-renault-lodgy-in-karamana-thiruvananthapuram-iid-1844423892
Ford Endeavour (2019),Ford,2175000,2019,84000,Diesel,Automatic,Sector,https://www.olx.in/item/cars-c84-used-ford-endeavour-in-sector-17c-chandigarh-iid-1841824801
Mercedes-Benz E-Class (2022),Mercedes,4800000,2022,60000,Petrol,Automatic,"T Nagar, Chennai",https://www.olx.in/item/cars-c84-used-mercedes-benz-e-class-in-t-nagar-chennai-iid-1838200198
Tata Nexon Ev (2022),Tata,950000,2022,73000,Electric,,"LB Nagar, Hyderabad",https://www.olx.in/item/cars-c84-used-tata-ev-in-lb-nagar-hyderabad-iid-1825122239
Volkswagen Vento (2013),Volkswagen,395000,2013,71000,Petrol,Automatic,"Virar West, Mumbai",https://www.olx.in/item/cars-c84-used-volkswagen-vento-in-virar-west-mumbai-iid-1845889062
Hyundai Alcazar (2022),Hyundai,1595000,2022,43769,Petrol,Automatic,"Pimpri, Pune",https://www.olx.in/item/cars-c84-used-hyundai-alcazar-in-pimpri-pune-iid-1846890003
